cell with spacer,
Reference Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
22.492,-0.003972602
22.592,-0.01310698
22.692,0.001268229
22.792,0.02201416
22.892,0.02241716
22.992,0.01187372
23.092,0.006232619
23.192,0.005125435
23.292,0.01197735
23.392,0.01790152
23.492,0.00458743
23.592,-0.01555868
23.692,-0.01805055
23.792,-0.009259356
23.892,-0.005412604
23.992,-0.002481878
24.092,0.002496977
24.192,-0.009609563
24.292,-0.02961355
24.392,-0.02144978
24.492,0.007422045
24.592,0.02079106
24.692,0.02135036
24.792,0.02826738
24.892,0.04028502
24.992,0.05084775
25.092,0.06348802
25.192,0.07019732
25.292,0.05223009
25.392,0.02552164
25.492,0.02219055
25.592,0.03397438
25.692,0.04527337
25.792,0.05730816
25.892,0.06071375
25.992,0.04740586
26.092,0.02764846
26.192,0.02207004
26.292,0.03837986
26.392,0.05463566
26.492,0.04891366
26.592,0.0287042
26.692,0.01773278
26.792,0.01861726
26.892,0.01417516
26.992,0.002409683
27.092,-0.006648925
27.192,-0.0207388
27.292,-0.03701394
27.392,-0.03141349
27.492,-0.01361072
27.592,-0.01771853
27.692,-0.03694085
27.792,-0.04368859
27.892,-0.04000975
27.992,-0.03931283
28.092,-0.04296828
28.192,-0.06297305
28.292,-0.1054252
28.392,-0.1429778
28.492,-0.1612377
28.592,-0.1815851
28.692,-0.2088179
28.792,-0.2321709
28.892,-0.2643141
28.992,-0.3060868
29.092,-0.3387552
29.192,-0.3648982
29.292,-0.3989902
29.392,-0.4458414
29.492,-0.5043637
29.592,-0.563125
29.692,-0.6040123
29.792,-0.6276106
29.892,-0.646929
29.992,-0.65628
30.092,-0.6264194
30.192,-0.5293854
30.292,-0.3346874
30.392,-0.00684249
30.492,0.453392
30.592,0.9794919
30.692,1.461473
30.792,1.746821
30.892,1.679346
30.992,1.205914
31.092,0.4556972
31.192,-0.2476328
31.292,-0.5564709
31.392,-0.3595518
31.492,0.1003894
31.592,0.4011715
31.692,0.3441824
31.792,0.1326
31.892,0.06944282
31.992,0.1714132
32.092,0.2167594
32.192,0.1418118
32.292,0.1174652
32.392,0.1835697
32.492,0.189121
32.592,0.1265092
32.692,0.1173072
32.792,0.1459832
32.892,0.1351629
32.992,0.1274786
33.092,0.147661
33.192,0.135832
33.292,0.1145756
33.392,0.1350603
33.492,0.1492397
33.592,0.1328697
33.692,0.1208883
33.792,0.108586
33.892,0.0937705
33.992,0.08982114
34.092,0.09245056
34.192,0.1076755
34.292,0.1190252
34.392,0.09913911
34.492,0.07570087
34.592,0.06640393
34.692,0.06380437
34.792,0.06944061
34.892,0.06840064
34.992,0.05894669
35.092,0.0593168
35.192,0.05843589
35.292,0.05216357
35.392,0.05105668
35.492,0.04610762
35.592,0.03544552
35.692,0.03238723
35.792,0.03163515
35.892,0.02773534
35.992,0.02719954
36.092,0.03311572
36.192,0.03810584
36.292,0.0288537
36.392,0.01810242
36.492,0.02103139
36.592,0.03230769
36.692,0.04250123
36.792,0.03824111
36.892,0.02819863
36.992,0.03182937
37.092,0.04235938
37.192,0.04328361
37.292,0.03118121
37.392,0.01326756
37.492,-0.002986948
37.592,-0.01209857
37.692,-0.00977914
37.792,0.002096829
37.892,0.005269859
37.992,-0.005480468
38.092,-0.02100527
38.192,-0.03330369
38.292,-0.03271604
38.392,-0.02347911
38.492,-0.01660932
38.592,-0.01682004
38.692,-0.02827582
38.792,-0.03713836
38.892,-0.02817016
38.992,-0.02082576
39.092,-0.0289109
39.192,-0.03625382
39.292,-0.0357601
39.392,-0.03645287
39.492,-0.03510097
39.592,-0.02265198
39.692,-0.008560459
39.792,-0.01050984
39.892,-0.01673768
39.992,-0.01438335
40.092,-0.01194108
40.192,-0.01299359
40.292,-0.01394143
40.392,-0.01800984
40.492,-0.03021295
40.592,-0.03992835
40.692,-0.03371051
40.792,-0.02294773
40.892,-0.02705103
40.992,-0.03865249
41.092,-0.0410997
41.192,-0.03716834
41.292,-0.02777698
41.392,-0.01597185
41.492,-0.01679187
41.592,-0.0327126
41.692,-0.04659657
41.792,-0.04239689
41.892,-0.02404988
41.992,-0.007315631
42.092,-0.00176264
