cell,
Sample Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
22.792,-0.8067655
22.892,-0.9038395
22.992,-1.009554
23.092,-1.122399
23.192,-1.242597
23.292,-1.371822
23.392,-1.51142
23.492,-1.66141
23.592,-1.823389
23.692,-1.992949
23.792,-2.157184
23.892,-2.290206
23.992,-2.33393
24.092,-2.192525
24.192,-1.733485
24.292,-0.8212456
24.392,0.6011172
24.492,2.409772
24.592,4.232442
24.692,5.470284
24.792,5.547137
24.892,4.28552
24.992,2.181566
25.092,0.2102965
25.192,-0.7239165
25.292,-0.4310386
25.392,0.4365957
25.492,0.9929501
25.592,0.9059967
25.692,0.5348709
25.792,0.3440597
25.892,0.4055209
25.992,0.4835109
26.092,0.4387797
26.192,0.3635572
26.292,0.361618
26.392,0.3922103
26.492,0.3806254
26.592,0.3536375
26.692,0.3730575
26.792,0.4113531
26.892,0.3963274
26.992,0.3374663
27.092,0.2856357
27.192,0.2404792
27.292,0.2058937
27.392,0.2181318
27.492,0.2433124
27.592,0.2318338
27.692,0.2192281
27.792,0.2232247
27.892,0.2088331
27.992,0.1901425
28.092,0.1720507
28.192,0.1313187
28.292,0.1002317
28.392,0.09296402
28.492,0.08721638
28.592,0.0901242
28.692,0.08199384
28.792,0.0428074
28.892,0.003996172
28.992,-0.0252899
29.092,-0.03882767
29.192,-0.02569036
29.292,-0.02006726
29.392,-0.03609915
29.492,-0.05789846
29.592,-0.08166057
29.692,-0.09570004
29.792,-0.0960328
29.892,-0.102955
29.992,-0.1154175
30.092,-0.1241719
30.192,-0.1260944
30.292,-0.1144039
30.392,-0.1019569
30.492,-0.09772024
30.592,-0.09738442
30.692,-0.106474
30.792,-0.1100867
30.892,-0.1027018
30.992,-0.09491175
31.092,-0.09078769
31.192,-0.09721437
31.292,-0.1014305
31.392,-0.09737413
31.492,-0.09041303
31.592,-0.08946652
31.692,-0.1001632
31.792,-0.1148758
31.892,-0.1221483
31.992,-0.1167542
32.092,-0.1050021
32.192,-0.09322412
32.292,-0.089729
32.392,-0.09520783
32.492,-0.1009503
32.592,-0.1013119
32.692,-0.09433009
32.792,-0.08384347
32.892,-0.07445151
32.992,-0.07141688
33.092,-0.07616216
33.192,-0.07657219
33.292,-0.06829903
33.392,-0.06030306
33.492,-0.05744309
33.592,-0.06302122
33.692,-0.07235185
33.792,-0.07720822
33.892,-0.07258099
33.992,-0.05853268
34.092,-0.04342527
34.192,-0.03219349
34.292,-0.02459134
34.392,-0.0206066
34.492,-0.01971579
34.592,-0.02342332
34.692,-0.03103548
34.792,-0.03404798
34.892,-0.03219768
34.992,-0.02923517
35.092,-0.02297134
35.192,-0.01673339
35.292,-0.01696681
35.392,-0.02467709
35.492,-0.03406831
35.592,-0.03667792
35.692,-0.03227679
35.792,-0.02568687
35.892,-0.01950032
35.992,-0.01854356
36.092,-0.01935566
36.192,-0.01504674
36.292,-0.009985082
36.392,-0.01133191
36.492,-0.01974565
36.592,-0.03430523
36.692,-0.04845059
36.792,-0.05580582
36.892,-0.05012262
36.992,-0.03099692
37.092,-0.01293531
37.192,-0.005894701
37.292,-0.01386638
37.392,-0.03189905
37.492,-0.05075738
37.592,-0.06234299
37.692,-0.05947916
37.792,-0.04331203
37.892,-0.02714595
37.992,-0.0241391
38.092,-0.03512665
38.192,-0.05201805
38.292,-0.06053711
38.392,-0.05865582
38.492,-0.05637588
38.592,-0.05809401
38.692,-0.0572856
38.792,-0.04805286
38.892,-0.03901343
38.992,-0.04369873
39.092,-0.06334225
39.192,-0.08404265
39.292,-0.09391022
39.392,-0.08534615
39.492,-0.06407797
39.592,-0.04525658
39.692,-0.04191817
39.792,-0.04991988
39.892,-0.05662568
39.992,-0.0590826
40.092,-0.06178026
40.192,-0.06673411
40.292,-0.07410123
40.392,-0.07598206
40.492,-0.05897558
40.592,-0.02960711
40.692,-0.01171233
40.792,-0.01853876
40.892,-0.04304019
40.992,-0.06380347
41.092,-0.05694211
41.192,-0.02142964
41.292,0.02068334
41.392,0.04340326
41.492,0.03840188
41.592,0.01554064
