water room temp,
Sample Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
21.392,0.02011728
21.492,0.01719237
21.592,0.01377783
21.692,0.009954207
21.792,0.006000717
21.892,0.0007045494
21.992,-0.004938581
22.092,-0.01134187
22.192,-0.01844886
22.292,-0.02732177
22.392,-0.03698156
22.492,-0.04761169
22.592,-0.05975445
22.692,-0.07360192
22.792,-0.0891352
22.892,-0.1064562
22.992,-0.1259062
23.092,-0.1474094
23.192,-0.1709881
23.292,-0.1974
23.392,-0.2266828
23.492,-0.2586547
23.592,-0.2937177
23.692,-0.332184
23.792,-0.3738082
23.892,-0.4194806
23.992,-0.4686756
24.092,-0.5226159
24.192,-0.5811925
24.292,-0.6433771
24.392,-0.7073286
24.492,-0.7672967
24.592,-0.8152028
24.692,-0.8338896
24.792,-0.8025662
24.892,-0.6983118
24.992,-0.5048438
25.092,-0.2254483
25.192,0.1058252
25.292,0.4305415
25.392,0.6757118
25.492,0.787813
25.592,0.7606024
25.692,0.6430178
25.792,0.5096086
25.892,0.4171205
25.992,0.3770927
26.092,0.3675846
26.192,0.359331
26.292,0.3420688
26.392,0.3217065
26.492,0.3072395
26.592,0.2969285
26.692,0.2870251
26.792,0.2755345
26.892,0.2642757
26.992,0.2546206
27.092,0.2456718
27.192,0.2390486
27.292,0.2353872
27.392,0.2350492
27.492,0.2335986
27.592,0.2283608
27.692,0.2179597
27.792,0.2055268
27.892,0.1934563
27.992,0.1839438
28.092,0.1773649
28.192,0.1719384
28.292,0.1668274
28.392,0.1622015
28.492,0.1570749
28.592,0.1511031
28.692,0.1427812
28.792,0.1328539
28.892,0.1223072
28.992,0.1135399
29.092,0.1070378
29.192,0.1028227
29.292,0.09748469
29.392,0.08980502
29.492,0.07966878
29.592,0.06902902
29.692,0.05989614
29.792,0.05351194
29.892,0.04880514
29.992,0.04336996
30.092,0.03652975
30.192,0.02804655
30.292,0.01947481
30.392,0.01173866
30.492,0.003666927
30.592,-0.003998633
30.692,-0.0109978
30.792,-0.01718033
